Tanggal,Username,Rekomendasi,Review,Informasi Tambahan
4 days ago,rxzka,rxzka recommends this product!,"Aku dapet beberapa samplenya dari event make up class Somethinc yg kerjasama sama kantorku. Awalnya ga ngeh kalau mereka ada 2 varian buat Niacinamide: 5% dan 10%. Tapi meskipun sample ukuran kecil pun, pakai ini di malam hari besoknya udah keliatan banget muka teksturnya lebih halus dan (sedikit) lebih cerah. Makanya aku consider buat beli full sizenya, tp pengen coba yang 10% to see apakah dengan kandungan yang lebih tinggi dia akan kasih efek lebih nampol.",Usage Period : Less than 1 week Purchase Point : Sample
4 days ago,Aisyiyah,Aisyiyah recommends this product!,"Somethinc Niacinamide + Moisture Sabi Beet Brightening Serum ini juara banget buat bikin kulit cerah! Teksturnya ringan, cepat meresap, dan nggak lengket. Kandungan niacinamide-nya ampuh buat menyamarkan noda hitam dan bikin wajah tampak lebih glowing. Plus, ada ekstrak beet yang bantu menjaga kelembapan kulit. Jadi, kulit nggak cuma cerah, tapi juga terasa lebih halus dan sehat. Pas banget buat kamu yang cari serum multifungsi!",Usage Period : More than 1 year Purchase Point : Shopee
14 Oct 2024,intanWA26,intanWA26 recommends this product!,"Aku pake ini untuk pagi hari dibarengi sunscreen,kandungan niacinamide nya juga lebih besar dibanding dari yang barier ,teksture nya sedikit kental dan mudah menerap,lebih terasa efek mencerahkan nya,kalo untuk darkspot agak kurang ya,cuma di aku warna kulit wajah lebih merata,soalnya aku suka panas2an.",Usage Period : 3 months - 6 months Purchase Point : Tiktok Shop
10 Oct 2024,amdchr,amdchr recommends this product!,"Bener-bener ngefek banget di aku.. Kalo ada PIH cuma butuh 3-7 hari langsung ilang (tergantung seberapa pekatnya yaa).. Apalagi kalo mix sama retinol, auto glowing + mulus ð lagi mau nyoba kalo mix sm txa gimana hasilnya hehehe semoga sih sama aja ð",Usage Period : More than 1 year Purchase Point : Shopee
30 Sep 2024,nysrinaw,nysrinaw recommends this product!,"been using this product lumayan beberapa kali apalagi pas awal2 launching. bener2 efek brighteningnya dapet, lembapnya dspet bgt, trs teksturnya juga nyaman bgt, light gel yg cukup runny dan feelsnya ringan bgt cepet nyerep. utk efek ngilangin bekas jerawat sih menurutku lumayan ya, krn hero ingredientsnya pake niacinamide juga kan. ga lengket, packagingnya jg ga ringkih. super luv!",Usage Period : 1 month - 3 months Purchase Point : Shopee
29 Sep 2024,adellliaputrip,adellliaputrip recommends this product!,"Ini serum pertama aku!! yang mana sampe detik ini masih aku pakai. Pake ini ngaruh di aku, ada efek brighteningnya, kulit jd lebih cerah. Di aku cocok bgt ini serum!! Menurutku juga worth to try untuk para pemula. So guys cobain deh!!",Usage Period : More than 1 year Purchase Point : Boots
29 Sep 2024,celinaa91,celinaa91 recommends this product!,"Serum Niacinamide dari Somethinc adalah produk yang sangat populer untuk perawatan kulit. Dikenal karena kemampuannya mengurangi noda, meratakan warna kulit, dan mengecilkan pori-pori, serum ini memiliki tekstur ringan yang cepat meresap.",Usage Period : 1 week - 1 month Purchase Point : Shopee
29 Sep 2024,nanisaaa,nanisaaa doesn't recommend this product! ,Isinya dikit sihh jadi berasa cepat habis. Hasilnya mungkin baru keliatan kalau pakai dua jar atau beli yg big sizenya yaa soalnya pakai yang ukuran segini belum terlalu keliahatan mencerahkan bekas jerawatnya. Fungsi niacin bisa jg utk mengontrol minyak,Usage Period : 1 month - 3 months Purchase Point : Shopee
29 Sep 2024,rahma_syaa,rahma_syaa recommends this product!,"Sangat efektif untuk mengurangi bekas jerawat merah & hitam, mencerahkan wajah, membantu mengontrol sebum, meredam jerawat kemerahan, tekstur lembut, kental tidak encer, gampang di apply ke wajah, gampang meresap, tidak memiliki bau dan fragrance",Usage Period : More than 1 year Purchase Point : Shopee
28 Sep 2024,muthiiaaaz,muthiiaaaz recommends this product!,"Setelah menggunakan serum mencerahkan dari Somethinc selama beberapa minggu, saya ingin berbagi pengalaman saya. Pertama-tama, kemasan serum ini cukup menarik dan praktis, dengan pipet yang memudahkan pengambilan produk.Saat pertama kali mengaplikasikan serum ini, saya langsung merasakan teksturnya yang ringan dan cepat meresap ke kulit. Ini sangat menyenangkan karena tidak meninggalkan rasa lengket. Aroma serum ini juga cukup lembut, tidak mengganggu saat digunakan.",Usage Period : 1 week - 1 month Purchase Point : Shopee
