Tanggal,Username,Rekomendasi,Review
11 Oct 2024,Tiaradfsl94,Tiaradfsl94 recommends this product!,Dah habis 2 botol dan dah beli lagiSejujurnya nih produknya susa cari orinya kebanyakan kwBut sebagus itu sih Dia teksturnya juga bagus bangen ga yg cair banget gitu Abis itu yah dia nih beneran buat cerah ga cuman gimmick 
29 Sep 2024,pritanos,pritanos recommends this product!,"pernah ngalamin jerawatan meradang yang susah banget hilang di muka terus pernah nyoba skincare lain malah ga cocok dan sekarang sedang rutin make the ordinary dan cocok banget dikulit, untuk harga lumayan untuk pelajar tapi worth it untuk pemakaian"
29 Sep 2024,hellokaniaaa,hellokaniaaa recommends this product!,"serum yang paling aku percaya all the time adalah THE ORDINARY !! apalagi kalo niacinamide di combine sama alpha arbutin, wahh gongg bangett!! Kulit mulus, cerahan, bekas jerawat memudar. Kalau beli di online store harus super hati-hati banget karna banyak yang palsu huhu"
29 Sep 2024,nanisaaa,nanisaaa recommends this product!,Serum brightening yang kadarnya lumayan tinggi yaa inii l. Hasilnya terlihat banget tapii. Belum habis sebotol udah keliatan mencerahkan si bekas jerawat PIE dan ga bikin mudah jerawatan (kecualii pas laagi hormon gitu yaa gengs). Hati hati barang palsunya kalau beli ini
28 Sep 2024,fikaarahmaa,fikaarahmaa recommends this product!,"waktu itu pake produk ini pas sma dan sangat masih buta skincare, dikasih sama kakak waktu itu, kondisi kulit gelap parah karena sering banget panas panasan di sekolah dan juga jerawatan karena memang kulit acne prone dan belum bisa ngerawat, nah pake ini selama sebulanan sama sunscreen skinaqua bener bener bikin kulit better bersihan, cerahan, jerawat hanya pas pms, cuma aku gatau beli produk ini dimana yang ori dan harganya yang lumayan di dompet anak sma bikin aku stop huhu, sekarang susah cari yang ori, pernah beli tapi udah beda tekstur dan ga ngaruh lagi ke kulitku"
26 Sep 2024,yulce,yulce recommends this product!,"Serum niacinamide terbaik!!!! selalu repuchese karena sebagus dan sengaruh itu. Serum ini juga yang ngebantu hilangin bekas cacar dan jerawat di wajahku dulu, beneran gak overclaim guy! Yang penting rutin dan jangan lupa pakaisunscreen"
26 Sep 2024,eufrasiabona,eufrasiabona recommends this product!,"nyari niacinamide yg ampuh beneran 10% cuma ini teksturenya rada thick cair, gampang meresap ga lengket sama sekali, buat mencerahkan membersihkan pori bikin komedo hilang butuh waktu TAPI beneran works. komposisinya ga macem2 buat ngeringin jerawat oke, ga bikin kilang minyak di kulit kombinasi"
22 Sep 2024,missindriii,missindriii recommends this product!,"Sebelum aku tahu jika konsentrasi maksimal niacinamide yang memberikan efek adalah 5% aku pakai dosis yang tinggi dulu nih 10%. Aku mengira bahwa semakin tinggi konsentrasi makan semakin bagus dan cepat hasilnya. Ternyata tidak menjadi jaminan. Pakai konsentrasi yang sewajarnya saja. Untuk hasilnya bagus, membantu mencerahkan tone kulit wajahku. Udah gitu harganya murah lagi. Jadi udah beberapa kali repurchase."
20 Sep 2024,fiscanisaa,fiscanisaa recommends this product!,"Serum yang sangat bermanfaat buat wajahku yang kusam dan gelap karena terbakar matahari. Benar-benar kelihatan si di wajahku perubahannya setelah make produk ini dan sebelum make. Untuk awal pemakaian, disarankan sekali sehari dulu apply nya, karena takut iritasi kalo ga cocok."
02 Sep 2024,isazarine,isazarine recommends this product!,serum ternampol apalagi kalo dilayer sama alpha arbutinnya. teksturnya bening agak lengket gitu tapi dia gampang menyerap diwajah. nunggu beberapa menit baru dilayer sama alpha arbutinya. nampol banget buat ngilangin bekas jerawat. cuman di indo nyarinya mayan susahh. luvvvvv
27 Aug 2024,KitKath,KitKath recommends this product!,Dikasih tanteku yg ori dari Canada. Ini eyangnya serum-serum niacinamide lainnya ð pelopor skincare minimalis yg mementingkan zat aktif pada zamannya. Serumnya lumayan ngefek mencerahkan kulit dan menyamarkan hyperpigmentation. Kandungan zincnya juga bikin kulit gak minyakan. Pengen repurchase tapi susah banget ya nemu yg ori di Indonesia. 
24 Aug 2024,tabitharnl,tabitharnl recommends this product!,I first tried this product ketika aku break out parah because of stress back in 2018. This + the TO moisturizer SAVED my skin. Sejak saat itu mau gonta ganti skincare gak akan pernah lepas sama Niacinamide ini. Udah coba juga Niacinamide dari beberapa product lain but nothing is as good as this one. Sebenernya kalau ada breakout ya tetep harus disupport sama Salicylic Acid + Product lainnya but i feel like itâs the serum that I just need to use everyday for my skinâs stability. 10/10 would recommend!
09 Aug 2024,kdevinta,kdevinta recommends this product!,"one of my most most favorite skincare that contains niacinamide, it works perfectly grrrrreat on my acne prone skin ð­ it doesnt give any weird texture, sticky nor hurts on my skin. it soothening my redness and reducing my dark spots in 3 months on my routines. 9/10"
28 Jul 2024,khafmaa,khafmaa recommends this product!,"Dulu pakai ini pas awal2 viralnya produk TO. Pertama kali pakai hasilnya ga langsung kelihatan sih. Tapi pas pakai ini minyak di wajah jadi lebih terkontrol karena dulu aku pas kuliah wajah berminyak. Setela pakai ini digabungsama yg alpha arbutin hasilnya lebih kelihatan. Bikin wajahku cerah , bekas jerawa berkurang. Untuk harga saat ini menurutku agak mahal ya, karena sudah banyak serum serupa dari brand lokal yg nampol jugatapi lebih terjangkau. Tapi ini best sih kalo da budget lebih"
23 Jul 2024,olaann_,olaann_ recommends this product!,"mantul sih efek mencerahkannya dapet, melembabkan juga dapet. dengan kualitas dan harga segitu worth it sih, u must try guys! tekstur nya pas ga terlalu kental dan cair, mudah menyerap di kulit. oke bgt lah pokoknya, gass beli guyss..."
21 Jul 2024,muallimatul,muallimatul recommends this product!,Pertamakali wajahku berkenalan dengan produk niacinamide ya dengan serum the ordinary ini. Malemnya di tetesin ke wajah kan. Terus paginya kaget banget tiba-tiba glowing. Makanya untuk urusan niacinamide aku g pernah menyerahkan ke produk yang lain. Aku percayakan ke the ordinary aja. Flek2 hitam beneran ilang cuy. Mantep poll emang â¨â¨ð¤©ð¤©ð¤© wajah jadi kencang dan glowing ð¬ agak kaget pas awal2 make tuh
18 Jul 2024,JacquelineClariesta,JacquelineClariesta recommends this product!,Repurchase beberapa kali saat hype dengan harapan membantu jerawat di kulit berminyak dan sensitif sy. Tapi tdk ada perubahan yang worthed the hype. Mungkin krn pembelian bukan dari official store krn saat itu cukup susah untuk purchase lgsg ke official. Jadi cari store dengan penjualan terbanyak dan review terbagus. 
13 Jul 2024,hennylimdr,hennylimdr recommends this product!,"Teksturnya kental, agak lengket, jadi cukup dipakai sedikit, dan cukup 2-3 hari sekali. Dibanding produk lain yang juga Niacinamide 10%, kalau dipakai saat kulit kering banget, anehnya malah nggak terlalu melembapkan (mungkin karena Zinc-nya). Biasa hanya kupakai malam hari, dan hasilnya lumayan: besok paginya kulit masih lembap dan tidak begitu berminyak."
07 Jul 2024,dinajelej,dinajelej recommends this product!,"Wajah kalian ada PIH nyaa? Mau mudarin bekas jerawat? Mending pake ini aja dehh. Suerr, dua Minggu pemakaian, auto cerahann. Warna kulit merata, dan bekas jerawat ilang. untuk harga segitu dengan hasil yang wah, ini termasuk murah sihh. Kalian wajib coba dehh suerr ð»"
07 Jul 2024,Nisrina_04,Nisrina_04 recommends this product!,"Pertama kali pake produk niacinamide langsung ke the ordinary. Pemakaian pertama ada kesan tingling sedikit tp setelah itu aman. Bisa bgt dipake tiap hari. Tekstur kental dan sedikit lengket, tp mudah menyerap di kulit. Tidak berwarna tp sedikit berbau. Efeknya di kulit aku ada kesan melembabkan, menyamarkan noda bekas jerawat dan mencerahkan kulit. 1 botol di aku bisa tahan hingga 2 bulan, irit bgt kann"
