Tanggal,Username,Rekomendasi,Review
a day ago,Diani28,Diani28 recommends this product!,"Diusia ku yg 21-24thn ini aku baru nyobain beberapa serum brightening. Salah satunya dari whitelab ini. Menurutku ini cukup nampol yaa dieajar ku yg kering ini. Kalao kita rutin hasilnya keliatan bgt, apalagi utk meratakan warna kulit. Best bgt. Tekstur nya cair yg lengket gitu, tp sangatÂ² ringan. "
06 Oct 2024,Chloe25,Chloe25 recommends this product!,"Whitelab serum ini emang sebagus itu. Kandungan bahan aktifnya yang cepat meresap dikulit dan bekerja secara maksimal membuat kulit tampak kenyal dan lebih cerah. Aku cocok banget sih pake serum ini, secinta itu sampe sudah beli yang ke-2 kali."
03 Oct 2024,salwaa,salwaa recommends this product!,"Serum dengan active ingredients pertama aku, harganya terjangkau, cocok dikulit aku, mencerahkan, memudarkan bekas jerawat, dan meratakan warna kulit. Tekstur lumayan cair, cepat meresap, ga bikin kusam saat pakai di pagi hari, ada wanginya tapi ga ganggu. "
30 Sep 2024,Alfiahkhaier,Alfiahkhaier recommends this product!,"Serum whitelab yang dengan kandungan niacinamide 10 ini awalnya aku pakai memang kerasa banget kayak cerahan gitu sampai dokter ku noticing kan kyk kok lebih cerah. Tapi kesiniÂ² biasa aja, kulitku kayak kusam kenapa ya kalau pakai skincare cocok gitu, bagus di awal pas rutin biasa aja. Padahal aku merasa tingkat kecerahan blm max, karena wajah masih beda sama leher & telinga ð gimana ya tips mencerahkan agar warna leher, telinga, wajah sama"
29 Sep 2024,idarusdiyana,idarusdiyana recommends this product!,"Saya udah setahun lebih memakai serum N10-DOSE+ brightening serum nya punya whitelab saya cocok karena bisa mencerahkan dan cocok untuk kulit saya yang oily, serum ini mudah meresap dan mudah juga di bland cocok untuk dipakai sehari hari "
28 Sep 2024,Aufaaisyah02,Aufaaisyah02 recommends this product!,"serumnya bener bener bagus banget buat ngilangin noda hitam bekas jerawat di muka, teksturnya tuh ringan makanya cepet banget nyerap di muka setelah di pakai. baunya pun ga ganggu banget pas pemakaian serum ini jadi sangat worth the price dan recommended"
27 Sep 2024,Syafaistifara,Syafaistifara recommends this product!,Muka kusam? Serum ini solusinya. Aku udh pake dari 2021 dan sengaruh itu buat mencerahkan kulit wajah karna ada kandungan niacinamide 10% nya yg nampol walopun gak langsung cerah tp beneran seampuh itu kalau kita rutinin pake serumnya iniðð¯
26 Sep 2024,diah_tantri,diah_tantri recommends this product!,"Waktu aku sebelum Pakai serum ini wajah terlihat kusam dan setelah Pakai serum ini jadi enak terlihat cerah di wajah dan bersih dan kenyal, rekomendasi sih untuk serum ini seneng banget pakai nya... Terima kasih whitelab"
20 Sep 2024,pratitadji92,pratitadji92 recommends this product!,"awal mula ragu mau pake serum ini. tapi setelah yakin pake, ternyata kelihatan juga hasilnya makin glowing. dengan kandungan niacinsmide 5%, hyalucomplex-10, marina collagen. dan harganya yang ramah di kantong. bakala repurchase sih, si kecil-kecil cabe rawit ini. "
17 Sep 2024,shelvieapril,shelvieapril recommends this product!,"Kandungan niacinnya amat tinggi, sebenernya dokterku kurang saranin pake produk yg niacinamidenya 10%. Cuma karena kepalang beli, yaudah pake aja. Aku pake waktu pagi aja krn kalau dicampur sm serum lain takut nimbulin reaksi negatif mengingat ini kandungannya 10%. Gila sih aku tiap hari pake ini, abis 2 botol glowing bgt mukanya sama cerah pollð­bagus sih. Tapi jadi kaya terlalu to much glowingnya jadi malu aja gt ga pede, dan terlalu cerah. Oiya muncul bruntusan dikit2 juga dijidat, ntah krn serum ini atau poniku. Dan ga repurchase lagi karena dia agak peeling ngelupas pas ga sengaja muka ke gosok2 jari. Tapi serumnya bagus ko, bikin cerah, glowing, mulus & halus."
15 Sep 2024,SophieSH,SophieSH recommends this product!,"Aku gatau ini karna persennya ketinggian (aku ga masalah pakai niacin 5%), atau formulasinya tapi ini gak cocok & bikin muncul jerawat setelah 2x pemakaian di aku. Padahal dari tekstur, feels pas pakai, dan finish di wajah ga ada keluhan sama sekali. "
15 Sep 2024,YuanSilva,YuanSilva recommends this product!,"Aku combination type, pernah pake produk ini kurang keliatan sih efeknya di aku termasuk buat nyerahinnya, agak kecewa sih dengan harga segitu ngga ada hasil mau repurchase takut hasilnya samað­ aku saranin coba liat2 review combination skin lain siapa tau beda hasilð­"
05 Sep 2024,alyfa_,alyfa_ recommends this product!,"ini serum yang bagus+affordable bgt, apalagi dikantong pelajar kaya aku ginidengan kandungan niacin yg lumayan tinggi ini bagus sih cepat mencerahkan padahal kulitku tadinya belang bgt dan pake serum ini seminggu uda keliatan bgt hasilnya jd lebih cerah"
04 Sep 2024,arifarchm,arifarchm recommends this product!,"Ini serum yang cocok banget buat kamu yang udah terbiasa pakai niacinamide. Kandungan niacinamide 10% di serum ini bikin kulit cerah merata lebih cepat. Teksturnya sedikit thick, tapi masih cepet nyerep di kulit kok. Harganya masih affordable dan cucok meong banget buat hempas bekas jerawat"
30 Aug 2024,Unaa12,Unaa12 recommends this product!,"update guys, akhirnya aku cocok ama serum iniii. ternyata setelah dua minggu ngerasa kulit makin gelap gara"" ni serum kulit ku jadi keliatan ada cerahannya. yang ku notis di jidat sama pipiku udh mulai ada bercak"" lebih cerahan gtuu yg makin lama makin lebar. jadi emg hrs sabar aja si buat liat hasilnyaa"
30 Aug 2024,Elinaaa15,Elinaaa15 recommends this product!,"Aku pengguna whitelab semua produk untuk yg ini suka bgt bener-bener bisa mencerahkan. Harganya memang agak pricey (buat aku) soalnya aku termasuk boros pake serum bisa sebulan sekali :"") but dia teksturnya ringan, gampang menyerap, nyaman digunakan, bisa untuk mencerahkan, apalagi kalau pemakaian rutin."
27 Aug 2024,rahmiays20,rahmiays20 recommends this product!,"so far serum niacinamide terbaik!!! keliatan hasil setelah 1 botol pemakaian, jangan lupa pake rangkaian toner niacinamidenya juga yaaa!! whitelab the best pokoknya 100000/10, dgn harga yg low pricey tapi kualitas sangat oke ðððð "
22 Aug 2024,rayyaaztiann,rayyaaztiann recommends this product!,Emang gak cepet banget keliatan hasilnyatapiada kok progresnya. Bekas jerawat aku yang item itu mulai memudar walaupun tipis. Asal ditelatenin aja pakeknyaTerus buat yang khawatir kulitnya cekit cekit ini engga sama sekali kok. Aman bangett ðð»â
14 Aug 2024,annisaamaliazhr,annisaamaliazhr recommends this product!,"Awal pake ini di tahun 2021-an, pake ini bikin kulit lebih cerah dan 'anteng', jarang banget ada masalah kulit setelah pake rangkaian brightening dari whitelab ini. Sempat gonta-ganti skincare karna FOMO, ujung-ujungnya balik ke whitelab lagi karna ini yang paling nyaman. Serumnya agak kental, cepet nyerap ke dalam kulit, meratakan warna kulit, tapi kalau untuk darkspot bekas jerawat agak kurang nampol. Walaupun klaimnya niacinamide 10%, tapi ngga terlalu keras kok, ga bikin kulit tantrum asal dibarengi moist yang cukup. kalo awal nyoba mungkin bisa pakai yang varian 5% nya."
08 Aug 2024,faelashufa,faelashufa recommends this product!,"beli ini Karna emang keracunan influencer wkw. banyak yang bilang hasilnya bagus. kulitku kebetulan lagi kusam Dan gampang iritasi kalo dapet brightening agent yang agak harsh. namun, melihat kandungannya ada niacinamide Dan marine collagen nya, aku jadi semangat coba. tekstur nya kental, bening transparan. ada wangi floral yang bikin relax. so far kulitku ga nunjukin iritasi sama sekali. dia malah ngelembapin Dan bagus diatas makeup. efek mencerahkan nya ada. tapi bukan yang nampol banget. worth to buy banget buat di coba!"
06 Aug 2024,arumiazkia,arumiazkia recommends this product!,"Selama pemakaian so far bagus banget, gak mengecewakan. Dan ini masih trus pakai.kulit wajah ku jadi lebih cerah dan gak gampang kusam, pemakaian teratur bisa lah jadi lebih cerah lagi,, rekomendasi banget buat kalian yang lagi cari serum"
30 Jul 2024,sucisanti,sucisanti recommends this product!,Ini serum Niacinamide yang recomended banget. Mudah menyerap saat di apply & melembabkan. Hasilnya beneran mencerahkan. Lebih dari 1 tahun aku pakai ini selang seling hari dengan Serum Garnier Vitamin C untuk serum siang. Beneran kebukti mencerahkan.
30 Jul 2024,elvanbrl,elvanbrl recommends this product!,Sudah pakai dari tahun 2020 & sampai sekarang masih lanjut karena beneran ngefek. Awalnya sempet khawatir karena reformulasi berkali2 takut ga cocok tapi untungnya masih cocok jadi ga ganti. Yg paling disuka efek mencerahkan & mengontrol minyaknya. Udah coba pakai serum Niacin produk lain kebanyakan bagus di awal tapi lama2 biasa aja. Ga tau karena oksidasi atau karena apa. Tapi di WL ngga. Pakai jangka panjang makin bagus. Suka! Rekom banget buat yg pengen efek mencerahkan cepat
27 Jul 2024,leoiskafrank,leoiskafrank recommends this product!,Dapet ini dari tahun lalu dan baru selesai makenya. (ikut anti daftar penggunaan aku ya).serum ini tuh 'katanya' Niacinnya ada 10% tapi menurut aku masih kurang nampol ya jika aku bandingkan dengan somethinc yang 5%. tekstur cair dan mudah meresap. tidak ada bau aneh-aneh dan cukup calming. mencerahkannya lumayan untuk membantu memudarkan bekas jerawat dan memantu mengontrol minyak berlebih. minusnya ya cuma 'kek ada yang kurang' aja jika dibanding somethinc yang 5%. teksturnya jujur aku suka.
27 Jul 2024,mfebrn,mfebrn recommends this product!,"salah satu brand lokal yang pertama kali ngeluarin serum niacinamide dengan presentase kandungan niacinamide 10%, presentase ini emang ditujukan buat advance user krn termasuk high dose brightening serum. pake ini udah abis 2 botol, resultnya emang keliatan buat brightening untuk acne scars masih belum soalnya type kulit aku acne prone. yang paling amaze ini serum niacinamide 10% yang ngga peeling pas di layer sm sunscreen jadi aman2 aja dipake buat pagi hari. tapi tetep jangan lupa keep hydration sebelumnya krn niacinamide cenderung bikin kulit makin berasa kering. worth to try!"
14 Jul 2024,zaraaini45,zaraaini45 recommends this product!,"Kalau dari riwayat pembelian ku di shoppe aku sudah beli 8 kali, entah waktu beli offline itu berapa botol yang sudah aku habiskan. Serum ini yang jadi penyelamat wajah belangku habis kkn, mudarin bekas jerawat waktu habis sakit dan ga bisa skincarean hasilnya malah kulitku jerawatan, dan produk ini yang sangat sangat membantu aku mencerahkan dan memudarkan bekas jerawat ku paling ngaruh dan paling cepat so far"
13 Jul 2024,melan_357,melan_357 recommends this product!,"Ini produk ga neko neko si ingredients nya mantull , bener bener mencerahkan apalagi buat bekas jerawatku jd memudar 80%ðâ£ï¸ sampe repurchase trss krna emg bagus produknyaaa, melembabkan nya juga dapett , semogaaa bikin yg versi gede nya, segitu kdg kurangð­ð­ð¤ð¤"
07 Jul 2024,khasanahrhm,khasanahrhm recommends this product!,"Kulitku cocok pakai ini dan bisa menghilangkan bekas jerawat PIH ku. Kuncinya harus sabarr dan dibarengin sama produk yang mendukung lainnya! Ada efek brightening juga dari sini, ngerasa wajahku jadi cerahan."
